Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"BTN"	"TACTILE_SWITCH_PTH_6.0MM"	"12mm"	"64.2mm"	"12mm"	"64.2mm"	"9.74mm"	"60.95mm"	"T"	"90"	"MOMENTARY-SWITCH-SPST-PTH-6.0MM"
"C1"	"EIA7343"	"7mm"	"52.7mm"	"7mm"	"52.7mm"	"10.17mm"	"52.7mm"	"T"	"0"	"100uF"
"C2"	"0805'"	"9.7mm"	"56.45mm"	"9.7mm"	"56.45mm"	"10.6mm"	"56.45mm"	"T"	"180"	"100nF"
"C3"	"EIA7343"	"38mm"	"52.7mm"	"38mm"	"52.7mm"	"34.83mm"	"52.7mm"	"T"	"180"	"100uF"
"C4"	"0805'"	"35.78mm"	"72.5mm"	"35.78mm"	"72.5mm"	"34.88mm"	"72.5mm"	"T"	"0"	"100nF"
"C5"	"0805'"	"34.7mm"	"56.2mm"	"34.7mm"	"56.2mm"	"35.6mm"	"56.2mm"	"T"	"180"	"100nF"
"C6"	"CAP-SMD_BD4.0-L4.3-W4.3-LS5.3-FD"	"29.6mm"	"14.7mm"	"29.6mm"	"14.7mm"	"29.6mm"	"16.72mm"	"B"	"270"	"0.33uF"
"DC1"	"DC-IN-TH_DC-005-5A-2.0"	"20.1mm"	"11mm"	"20.1mm"	"11mm"	"22.45mm"	"14mm"	"B"	"90"	"DC Jack 2.1x5.5mm"
"ENC"	"SW-TH_PEC11R-4XXXF-SXXXX"	"33mm"	"64.2mm"	"33mm"	"64.2mm"	"40.25mm"	"66.7mm"	"T"	"270"	"ROTORY ENCODER"
"J1"	"1X19_NO_SILK"	"6.4mm"	"24.5mm"	"6.4mm"	"1.64mm"	"6.4mm"	"1.64mm"	"T"	"90"	"CONN_191X19_NO_SILK"
"J2"	"1X19_NO_SILK"	"38.4mm"	"24.5mm"	"38.4mm"	"1.64mm"	"38.4mm"	"1.64mm"	"T"	"90"	"CONN_191X19_NO_SILK"
"PCB1"	"SSD1306_VCC_GND_SCL_SDA SSD1306 KFLMIAMI420 SSD1306 128X64"	"28.54mm"	"104.54mm"	"16.78mm"	"105.1mm"	"24.73mm"	"104.54mm"	"T"	"0"	"SSD1306-128X64-OLED-0.96"
"R1"	"1210"	"3.4mm"	"45mm"	"3.4mm"	"45mm"	"3.4mm"	"46.75mm"	"T"	"270"	"10k"
"RF1"	"SMA-TH_SMA-KWE903"	"8.98mm"	"105.7mm"	"8.98mm"	"105.7mm"	"6.44mm"	"108.24mm"	"T"	"0"	"SMA-KWE903"
"U2"	"WIRELM-SMD_E22-900M30S"	"21.68mm"	"87.4mm"	"21.68mm"	"87.4mm"	"6.45mm"	"75.4mm"	"T"	"270"	"E22-900M30S"
"U3"	"BME280"	"28.48mm"	"108.47mm"	"23.4mm"	"107.2mm"	"24.67mm"	"108.47mm"	"T"	"0"	"BME280"
"U4"	"ATGM336H BREAKOUT"	"8.58mm"	"72.7mm"	"3.5mm"	"72.7mm"	"3.5mm"	"72.7mm"	"T"	"90"	"ATGM336H GPS"
"U5"	"ESP32-WROOM-32-D-U-DEVKIT"	"22.4mm"	"24.5mm"	"22.4mm"	"24.5mm"	"9.7mm"	"47.36mm"	"T"	"0"	"ESP32-WROOM-32U/D"
"U7"	"CYLEWET 5V BUZZER CYT1036"	"22.5mm"	"34.7mm"	"22.5mm"	"34.7mm"	"26.5mm"	"34.7mm"	"B"	"180"	"CYT1036 Buzzer"
"U8"	"TO-252-2_L6.6-W6.1-P4.57-LS9.9-TL-CW"	"22.5mm"	"21.7mm"	"22.5mm"	"21.7mm"	"24.77mm"	"18.41mm"	"B"	"90"	"MC7805BDTRKG"
